Rect_square_len,k,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,idea_cost,algorithm
1,0,1,1,3,14,46,./agent/0obs-20x20map-2agents-1.agents,5,1,CBSH-CR

1,1,2,1,3,16,52,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,2,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,3,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

2,0,3,1,3,28,99,./agent/0obs-20x20map-2agents-2.agents,9,1,CBSH-CR

2,1,2,1,3,34,111,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,2,4,1,3,51,135,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,3,5,1,3,51,135,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

3,0,4,1,3,38,142,./agent/0obs-20x20map-2agents-3.agents,13,1,CBSH-CR

3,1,5,1,3,56,172,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,2,9,1,3,85,222,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,3,7,1,3,85,222,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

4,0,8,1,3,58,213,./agent/0obs-20x20map-2agents-4.agents,17,1,CBSH-CR

4,1,13,1,3,90,261,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,2,21,1,3,139,341,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,3,17,1,3,139,341,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

5,0,12,1,3,84,302,./agent/0obs-20x20map-2agents-5.agents,21,1,CBSH-CR

5,1,19,1,3,134,372,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,2,28,1,3,208,487,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,3,27,1,3,208,487,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

6,0,14,1,3,116,409,./agent/0obs-20x20map-2agents-6.agents,25,1,CBSH-CR

6,1,39,1,3,188,505,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,2,23,1,3,283,653,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,3,54,1,3,283,653,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

7,0,22,1,3,153,531,./agent/0obs-20x20map-2agents-7.agents,29,1,CBSH-CR

7,1,33,1,3,251,657,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH-CR

7,2,63,1,3,386,852,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH-CR

7,3,54,1,3,386,852,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH-CR

8,0,25,1,3,196,671,./agent/0obs-20x20map-2agents-8.agents,33,1,CBSH-CR

8,1,37,1,3,324,831,./agent/0obs-20x20map-2agents-8.agents,34,2,CBSH-CR

1,0,1,1,3,14,46,./agent/0obs-20x20map-2agents-1.agents,5,1,CBSH

1,1,3,1,3,16,52,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH

1,2,1,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH

1,3,4,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH

2,0,5,3,7,46,165,./agent/0obs-20x20map-2agents-2.agents,9,1,CBSH

2,1,11,5,11,90,297,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,2,12,5,11,130,367,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,3,24,5,11,130,365,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

3,0,36,13,27,278,1007,./agent/0obs-20x20map-2agents-3.agents,13,1,CBSH

3,1,58,19,39,507,1626,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,2,70,19,39,724,2033,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,3,79,19,39,731,2027,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

4,0,265,57,115,1733,6285,./agent/0obs-20x20map-2agents-4.agents,17,1,CBSH

4,1,518,79,159,3072,9618,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,2,711,79,159,4414,12256,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,3,835,80,161,4468,12283,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

5,0,1798,220,441,9080,33076,./agent/0obs-20x20map-2agents-5.agents,21,1,CBSH

