Rect_square_len,k,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,idea_cost,algorithm
1,0,1,1,3,14,46,./agent/0obs-20x20map-2agents-1.agents,5,1,CBSH-CR

1,1,1,1,3,16,52,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,2,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,3,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,4,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,5,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,6,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

1,7,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH-CR

2,0,2,1,3,28,99,./agent/0obs-20x20map-2agents-2.agents,9,1,CBSH-CR

2,1,3,1,3,34,111,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,2,4,1,3,51,135,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,3,4,1,3,51,135,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,4,4,1,3,51,133,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,5,4,1,3,51,133,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,6,4,1,3,51,133,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

2,7,7,1,3,51,133,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH-CR

3,0,3,1,3,38,142,./agent/0obs-20x20map-2agents-3.agents,13,1,CBSH-CR

3,1,5,1,3,56,172,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,2,8,1,3,85,222,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,3,11,1,3,85,222,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,4,11,1,3,85,218,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,5,15,1,3,85,218,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,6,25,1,3,85,218,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

3,7,10,1,3,85,218,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH-CR

4,0,12,1,3,58,213,./agent/0obs-20x20map-2agents-4.agents,17,1,CBSH-CR

4,1,14,1,3,90,261,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,2,19,1,3,139,341,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,3,20,1,3,139,341,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,4,19,1,3,139,335,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,5,19,1,3,139,335,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,6,22,1,3,139,335,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

4,7,18,1,3,139,335,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH-CR

5,0,16,1,3,84,302,./agent/0obs-20x20map-2agents-5.agents,21,1,CBSH-CR

5,1,21,1,3,134,372,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,2,22,1,3,208,487,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,3,22,1,3,208,487,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,4,26,1,3,208,479,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,5,31,1,3,208,479,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,6,28,1,3,208,479,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

5,7,28,1,3,208,479,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH-CR

6,0,23,1,3,116,409,./agent/0obs-20x20map-2agents-6.agents,25,1,CBSH-CR

6,1,22,1,3,188,505,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,2,27,1,3,283,653,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,3,29,1,3,283,653,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,4,27,1,3,283,643,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,5,36,1,3,283,643,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

6,6,28,1,3,283,643,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH-CR

