agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
20,1,2,True,False,True,False,False,False,CBS-DK,False,90.047,745,1490,9896770,25925224,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-2.scen,-1,0,CBS,745,0,745,0,0,0,0,0,0,0,,0,1510,0,0,0,745,0,1,0,0,0
20,7,8,True,False,True,False,False,False,CBS-DK,False,90.0328,55,110,5475290,14136749,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-8.scen,-1,0,CBS,55,0,55,0,0,0,0,0,0,0,,0,130,0,0,0,55,0,35,0,0,0
20,17,8,True,False,False,False,False,False,CBS-DK,False,90.0585,828,1657,3074764,9757215,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-18.scen,-1,0,CBS,828,0,0,0,0,0,0,0,0,0,,1676,0,0,0,0,828,0,18,0,0,0
40,0,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.0025,322,645,1363253,2874356,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-1.scen,-1,15,CBSH-RM,297,0,0,17,0,0,0,0,8,0,,686,0,14,33,275,0,0,18,0,0,0
60,9,2,True,False,False,True,True,False,CBSH-RM-DK,True,90.0869,77,154,7114291,8032449,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,10,CBSH-RM,62,0,0,9,0,0,0,0,6,0,,214,0,63,14,0,0,0,30,0,0,0
30,5,2,True,False,False,False,False,False,CBS-DK,False,28.3856,5,11,2066425,2145715,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-6.scen,6069,1,CBS,5,0,0,0,0,0,1,0,0,0,,40,0,0,0,0,5,1,0,0,0,0
40,1,8,True,False,False,False,False,False,CBS-DK,False,90.0379,640,1281,673048,2248374,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-2.scen,-1,0,CBS,640,0,0,0,0,0,0,0,0,0,,1320,0,0,0,0,640,0,193,0,0,0
50,10,2,True,False,False,False,False,False,CBS-DK,False,90.0167,1417,2835,1051202,4221817,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-11.scen,-1,0,CBS,1417,0,0,0,0,0,0,0,0,0,,2884,0,0,0,0,1417,0,40,0,0,0
30,8,4,True,False,True,False,False,False,CBS-DK,False,90.0768,88,176,7809439,17696739,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-9.scen,-1,0,CBS,88,0,88,0,0,0,1,0,0,0,,0,206,0,0,0,88,0,2,0,0,0
20,10,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.288126,4,9,12095,42582,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-11.scen,3919,1,CBSH-RM,3,0,0,1,0,0,0,0,0,0,,28,0,1,2,1,0,1,0,0,0,0
50,6,2,True,False,True,False,False,False,CBS-DK,False,90.0199,1353,2707,3649646,8533945,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-7.scen,-1,3,CBS,1353,0,1353,0,0,0,10,0,0,0,,0,2756,0,0,0,1353,0,63,0,0,0
60,17,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.1109,180,359,6984716,8901136,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-18.scen,-1,14,CBSH-RM,66,0,0,97,0,0,0,0,17,0,,429,0,163,17,0,0,0,241,0,0,0
60,2,2,True,False,False,False,False,False,CBS-DK,False,90.0339,1101,2203,1608558,5389019,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-3.scen,-1,5,CBS,1101,0,0,0,0,0,0,0,0,0,,2262,0,0,0,0,1101,0,46,0,0,0
50,0,8,True,False,True,False,False,False,CBS-DK,False,90.0911,57,114,5903103,14831788,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-1.scen,-1,2,CBS,57,0,57,0,0,0,0,0,0,0,,0,164,0,0,0,57,0,230,0,0,0
40,21,4,True,False,False,False,False,False,CBS-DK,False,2.7668,14,29,191974,346350,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-22.scen,8559,2,CBS,14,0,0,0,0,0,3,0,0,0,,68,0,0,0,0,14,1,0,0,0,0
50,19,4,True,False,True,False,False,False,CBS-DK,False,90.064,726,1453,4445718,12069579,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-20.scen,-1,2,CBS,726,0,726,0,0,0,0,0,0,0,,0,1502,0,0,0,726,0,63,0,0,0
20,8,2,True,False,False,True,True,False,CBSH-RM-DK,False,3.10464,21,43,136154,438009,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-9.scen,3887,1,CBSH-RM,1,0,0,20,0,0,0,0,0,0,,62,0,0,21,0,0,1,0,0,0,0
30,3,4,True,False,False,False,False,False,CBS-DK,False,90.0053,1439,2879,2994713,10177360,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-4.scen,-1,0,CBS,1439,0,0,0,0,0,0,0,0,0,,2908,0,0,0,0,1439,0,15,0,0,0
30,20,8,True,False,False,False,False,False,CBS-DK,False,90.0103,606,1213,3366524,10754160,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-21.scen,-1,0,CBS,606,0,0,0,0,0,0,0,0,0,,1242,0,0,0,0,606,0,26,0,0,0
60,4,2,True,False,False,True,True,False,CBSH-RM-DK,True,90.036,90,181,10444061,11490769,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-5.scen,-1,10,CBSH-RM,50,0,0,26,0,0,0,0,14,0,,240,0,41,45,4,0,0,3,0,0,0
50,16,4,True,False,False,True,True,False,CBSH-RM-DK,True,90.098,176,352,12232684,13733973,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-17.scen,-1,10,CBSH-RM,93,0,0,51,0,0,0,0,32,0,,404,0,45,131,0,0,0,63,0,0,0
50,5,8,True,False,True,False,False,False,CBS-DK,False,90.0271,116,232,5363262,13404348,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-6.scen,-1,0,CBS,116,0,116,0,0,0,0,0,0,0,,0,282,0,0,0,116,0,114,0,0,0
50,3,2,True,False,True,False,False,False,CBS-DK,False,90.0326,633,1267,7225442,21841848,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-4.scen,-1,3,CBS,633,0,629,0,0,0,0,0,0,0,,0,1316,0,0,0,633,0,1,0,0,0
40,4,4,True,False,False,True,True,False,CBSH-RM-DK,False,90.5606,236,473,4491109,5471741,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-5.scen,-1,11,CBSH-RM,129,0,0,99,0,0,0,0,8,0,,512,0,32,100,104,0,0,4,0,0,0
40,14,2,True,False,False,True,True,False,CBSH-RM-DK,False,2.04967,21,43,180788,419079,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-15.scen,8720,4,CBSH-RM,11,0,0,10,0,0,0,0,0,0,,82,0,11,10,0,0,1,0,0,0,0
40,9,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.1684,193,386,2788328,4956281,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,7,CBSH-RM,28,0,0,165,0,0,0,0,0,0,,426,0,27,137,29,0,0,176,0,0,0
30,20,8,True,False,False,True,True,False,CBSH-RM-DK,True,90.0733,663,1326,5431573,13394423,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-21.scen,-1,2,CBSH-RM,663,0,0,0,0,0,0,0,0,0,,1356,0,1,1,661,0,0,2,0,0,0
20,19,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.562352,5,11,65045,121471,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-20.scen,4318,0,CBSH-RM,3,0,0,0,0,0,0,0,2,0,,30,0,0,3,2,0,1,0,0,0,0
60,13,4,True,False,False,True,True,False,CBSH-RM-DK,False,90.0723,84,168,8452352,9930607,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-14.scen,-1,10,CBSH-RM,33,0,0,30,0,0,0,0,21,0,,228,0,60,24,0,0,0,28,0,0,0
20,2,8,True,False,True,False,False,False,CBS-DK,False,90.0272,302,604,4513638,11431556,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-3.scen,-1,2,CBS,302,0,302,0,0,0,0,0,0,0,,0,624,0,0,0,302,0,76,0,0,0
20,1,2,True,False,False,True,True,False,CBSH-RM-DK,False,90.0151,457,915,3844313,10029029,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-2.scen,-1,1,CBSH-RM,448,0,0,8,0,0,0,0,1,0,,934,0,1,8,448,0,0,2,0,0,0
20,4,2,True,False,True,False,False,False,CBS-DK,False,3.08472,1,3,432876,456955,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-5.scen,4310,0,CBS,1,0,1,0,0,0,1,0,0,0,,0,22,0,0,0,1,1,0,0,0,0
50,18,2,True,False,False,False,False,False,CBS-DK,False,90.001,1284,2569,955371,3747915,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-19.scen,-1,0,CBS,1284,0,0,0,0,0,0,0,0,0,,2618,0,0,0,0,1284,0,45,0,0,0
40,9,8,True,False,False,False,False,False,CBS-DK,False,90.0737,422,844,2569402,8110847,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,0,CBS,422,0,0,0,0,0,0,0,0,0,,884,0,0,0,0,422,0,91,0,0,0
60,4,4,True,False,False,False,False,False,CBS-DK,False,90.0467,549,1098,2538920,8060499,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-5.scen,-1,0,CBS,549,0,0,0,0,0,0,0,0,0,,1158,0,0,0,0,549,0,196,0,0,0
30,23,2,True,False,False,True,True,False,CBSH-RM-DK,True,4.85554,6,13,761398,886288,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-24.scen,7095,2,CBSH-RM,2,0,0,0,0,0,0,0,4,0,,42,0,1,5,0,0,1,0,0,0,0
30,10,4,True,False,False,True,True,False,CBSH-RM-DK,True,1.37792,9,19,62032,164241,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-11.scen,6295,5,CBSH-RM,5,0,0,2,0,0,0,0,2,0,,50,0,3,5,1,0,1,0,0,0,0
50,16,4,True,False,False,False,False,False,CBS-DK,False,90.0968,1173,2347,2124288,7291251,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-17.scen,-1,0,CBS,1173,0,0,0,0,0,0,0,0,0,,2396,0,0,0,0,1173,0,123,0,0,0
60,7,8,True,False,False,True,True,False,CBSH-RM-DK,True,90.0919,380,761,5006209,7834981,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-8.scen,-1,13,CBSH-RM,266,0,0,36,0,0,0,0,78,0,,820,0,277,103,0,0,0,150,0,0,0
30,22,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.312184,2,5,23232,68906,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-23.scen,6949,2,CBSH-RM,2,0,0,0,0,0,0,0,0,0,,34,0,2,0,0,0,1,0,0,0,0
40,0,4,True,False,True,False,False,False,CBS-DK,False,90.0804,853,1707,4258779,10790085,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-1.scen,-1,4,CBS,853,0,853,0,0,0,0,0,0,0,,0,1746,0,0,0,853,0,15,0,0,0
20,8,8,True,False,True,False,False,False,CBS-DK,False,90.0864,44,87,7392682,18874094,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-9.scen,-1,0,CBS,44,0,44,0,0,0,0,0,0,0,,0,108,0,0,0,44,0,12,0,0,0
40,20,8,True,False,True,False,False,False,CBS-DK,False,90.0934,42,83,5458597,14191163,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-21.scen,-1,1,CBS,42,0,42,0,0,0,0,0,0,0,,0,124,0,0,0,42,0,154,0,0,0
50,18,4,True,False,False,True,True,False,CBSH-RM-DK,True,18.6789,39,79,2053815,2522219,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-19.scen,11024,7,CBSH-RM,17,0,0,18,0,0,0,0,4,0,,128,0,17,14,8,0,1,0,0,0,0
40,3,2,True,False,False,False,False,False,CBS-DK,False,2.1523,18,37,86475,223200,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-4.scen,7390,3,CBS,18,0,0,0,0,0,0,0,0,0,,76,0,0,0,0,18,1,0,0,0,0
50,12,8,True,False,False,False,False,False,CBS-DK,False,90.0243,658,1317,413371,1415145,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-13.scen,-1,4,CBS,658,0,0,0,0,0,0,0,0,0,,1366,0,0,0,0,658,0,607,0,0,0
40,11,4,True,False,True,False,False,False,CBS-DK,False,91.0189,19,39,9647470,10786800,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-12.scen,-1,0,CBS,19,0,19,0,0,0,14,0,0,0,,0,78,0,0,0,19,0,23,0,0,0
50,2,4,True,False,False,True,True,False,CBSH-RM-DK,False,90.0526,346,693,1235958,3365455,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-3.scen,-1,9,CBSH-RM,335,0,0,11,0,0,0,0,0,0,,742,0,17,6,323,0,0,8,0,0,0
60,0,8,True,False,False,False,False,False,CBS-DK,False,90.0563,400,801,929754,2777153,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-1.scen,-1,2,CBS,400,0,0,0,0,0,0,0,0,0,,860,0,0,0,0,400,0,389,0,0,0
30,7,4,True,False,True,False,False,False,CBS-DK,False,90.0816,1016,2032,4907386,13173170,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-8.scen,-1,0,CBS,1016,0,1016,0,0,0,0,0,0,0,,0,2062,0,0,0,1016,0,48,0,0,0
30,24,4,True,False,False,False,False,False,CBS-DK,False,0.464447,1,3,23264,80367,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-25.scen,5844,0,CBS,1,0,0,0,0,0,0,0,0,0,,32,0,0,0,0,1,1,0,0,0,0
60,20,4,True,False,False,True,True,False,CBSH-RM-DK,False,90.0251,598,1197,5466592,9037794,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-21.scen,-1,6,CBSH-RM,0,0,0,587,0,0,0,0,11,0,,1268,0,11,587,0,0,0,12,0,0,0
30,7,8,True,False,False,False,False,False,CBS-DK,False,90.0704,968,1937,2322942,6990667,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-8.scen,-1,0,CBS,968,0,0,0,0,0,0,0,0,0,,1966,0,0,0,0,968,0,201,0,0,0
50,9,2,True,False,True,False,False,False,CBS-DK,False,90.0743,1005,2011,2833669,7380029,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,2,CBS,1005,0,1005,0,0,0,0,0,0,0,,0,2060,0,0,0,1005,0,11,0,0,0
60,9,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.1815,233,466,3819589,6776786,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,15,CBSH-RM,149,0,0,56,0,0,0,0,28,0,,526,0,205,28,0,0,0,245,0,0,0
50,21,2,True,False,True,False,False,False,CBS-DK,False,90.0691,1146,2293,5459192,14263827,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-22.scen,-1,0,CBS,1146,0,1145,0,0,0,5,0,0,0,,0,2342,0,0,0,1146,0,8,0,0,0
60,4,4,True,False,False,True,True,False,CBSH-RM-DK,False,90.0683,114,228,10755295,12195124,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-5.scen,-1,14,CBSH-RM,28,0,0,46,0,0,0,0,40,0,,288,0,57,57,0,0,0,102,0,0,0
60,9,8,True,False,False,True,True,False,CBSH-RM-DK,True,90.1199,244,488,3741342,7015226,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-10.scen,-1,14,CBSH-RM,168,0,0,58,0,0,0,0,18,0,,548,0,226,18,0,0,0,225,0,0,0
30,11,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.305487,4,9,12397,47418,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-12.scen,5816,1,CBSH-RM,0,0,0,1,0,0,0,0,3,0,,38,0,1,3,0,0,1,0,0,0,0
50,16,4,True,False,True,False,False,False,CBS-DK,False,90.0651,1080,2160,3550336,9404979,/home/ubuntu/mike/CBS-exp/agent/den520d-even/den520d-even-17.scen,-1,1,CBS,1080,0,1080,0,0,0,0,0,0,0,,0,2210,0,0,0,1080,0,104,0,0,0
