agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
10,21,8,True,False,False,True,True,False,CBSH-RM-DK,False,0.468884,48,97,14420,32600,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-22.scen,323,5,CBSH-RM,35,0,0,13,0,0,0,0,0,0,,106,0,2,35,11,0,1,0,0,0,0
20,1,2,True,False,True,False,False,False,CBS-DK,False,0.147839,50,100,32086,67145,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-2.scen,584,2,CBS,50,0,50,0,0,0,6,0,0,0,,0,120,0,0,0,50,1,0,0,0,0
20,7,8,True,False,True,False,False,False,CBS-DK,False,90.0035,13861,21911,4453715,12693753,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-8.scen,-1,5,CBS,13861,0,13861,0,0,0,0,0,0,0,,0,27742,0,0,0,13861,0,75,0,0,0
20,17,8,True,False,False,False,False,False,CBS-DK,False,90.0015,16091,28902,2590424,7739905,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-18.scen,-1,1,CBS,16091,0,0,0,0,0,0,0,0,0,,32202,0,0,0,0,16091,0,8,0,0,0
10,6,8,True,False,False,False,False,False,CBS-DK,False,0.356476,90,181,14766,43722,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-7.scen,327,4,CBS,90,0,0,0,0,0,0,0,0,0,,190,0,0,0,0,90,1,0,0,0,0
10,20,2,True,False,False,True,True,False,CBSH-RM-DK,True,0.002762,1,3,361,1417,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-21.scen,288,2,CBSH-RM,1,0,0,0,0,0,0,0,0,0,,12,0,1,0,0,0,1,0,0,0,0
40,0,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.0076,4239,8159,2558315,4676510,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-1.scen,-1,19,CBSH-RM,2326,0,0,1667,122,0,0,0,124,0,,8518,0,615,3624,0,0,0,86,0,0,0
10,13,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.002555,1,3,272,1059,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-14.scen,214,0,CBSH-RM,0,0,0,0,0,0,0,0,1,0,,12,0,0,1,0,0,1,0,0,0,0
30,5,2,True,False,False,False,False,False,CBS-DK,False,90.0017,27159,54292,2531866,9694650,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-6.scen,-1,2,CBS,27159,0,0,0,0,0,0,0,0,0,,54348,0,0,0,0,27159,0,24,0,0,0
10,20,2,True,False,False,False,False,False,CBS-DK,False,0.006714,3,7,481,1805,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-21.scen,288,2,CBS,3,0,0,0,0,0,0,0,0,0,,16,0,0,0,0,3,1,0,0,0,0
40,1,8,True,False,False,False,False,False,CBS-DK,False,90.0027,6435,11458,1567715,5025056,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-2.scen,-1,3,CBS,6435,0,0,0,0,0,0,0,0,0,,12910,0,0,0,0,6435,0,150,0,0,0
50,10,2,True,False,False,False,False,False,CBS-DK,False,90.0055,21590,43179,3234310,10370646,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-11.scen,-1,2,CBS,21590,0,0,0,0,0,2718,0,0,0,,43230,0,0,0,0,21590,0,25,0,0,0
30,8,4,True,False,True,False,False,False,CBS-DK,False,90.0008,13059,25491,7443545,19024727,/home/ubuntu/mike/CBS-exp/agent/random-32-32-10-even/random-32-32-10-even-9.scen,-1,5,CBS,13059,0,13059,0,0,0,702,0,0,0,,0,26148,0,0,0,13059,0,17,0,0,0
