agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
5,0,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.001161,0,1,183,603,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,169,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,1,0,0,0,0
10,21,8,True,False,False,True,True,False,CBSH-RM-DK,False,0.020323,5,11,1735,3527,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,280,9,CBSH-RM,1,0,0,1,3,0,0,0,0,0,,20,0,3,2,0,0,1,0,0,0,0
20,1,2,True,False,True,False,False,False,CBS-DK,False,90.0005,33327,66655,7463224,16170069,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,-1,14,CBS,33327,0,32306,0,0,0,2779,0,0,0,,0,66674,0,0,0,33327,0,23,0,0,0
20,7,8,True,False,True,False,False,False,CBS-DK,False,90.0017,15371,30743,4243726,9441672,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,-1,15,CBS,15371,0,15371,0,0,0,0,0,0,0,,0,30762,0,0,0,15371,0,93,0,0,0
20,17,8,True,False,False,False,False,False,CBS-DK,False,90.0042,18068,34191,2826211,6423459,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,-1,22,CBS,16886,0,0,0,0,0,0,0,0,1182,,31413,3561,0,0,0,18068,0,124,0,10,0
15,5,8,True,False,True,False,False,False,CBS-DK,False,90.0018,16366,30828,4348380,10623111,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-6.scen,-1,16,CBS,16366,0,16366,0,0,0,0,0,0,0,,0,32747,0,0,0,16366,0,105,0,0,0
10,6,8,True,False,False,False,False,False,CBS-DK,False,0.008627,2,5,600,1539,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-7.scen,215,2,CBS,2,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,2,1,0,0,0,0
10,20,2,True,False,False,True,True,False,CBSH-RM-DK,True,0.03197,6,13,7969,11855,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,235,4,CBSH-RM,1,0,0,0,2,0,0,0,3,0,,22,0,3,3,0,0,1,0,0,0,0
15,3,2,True,False,True,False,False,False,CBS-DK,False,3.93716,778,1557,598431,1109259,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-4.scen,386,8,CBS,778,0,778,0,0,0,65,0,0,0,,0,1571,0,0,0,778,1,0,0,0,0
10,13,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.038821,12,25,4004,9349,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-14.scen,336,9,CBSH-RM,7,0,0,0,2,0,0,0,3,0,,34,0,7,4,1,0,1,0,0,0,0
5,4,4,True,False,False,True,True,False,CBSH-RM-DK,False,0.003345,1,3,302,937,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,158,2,CBSH-RM,1,0,0,0,0,0,0,0,0,0,,7,0,1,0,0,0,1,0,0,0,0
