agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
20,1,2,True,False,True,False,False,False,CBS-DK,False,22.6967,47,95,3784927,3960292,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-2.scen,2133,0,CBS,47,0,47,0,0,0,15,0,0,0,,0,114,0,0,0,47,1,0,0,0,0
20,7,8,True,False,True,False,False,False,CBS-DK,False,0.380845,2,5,21544,60470,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-8.scen,1731,0,CBS,2,0,2,0,0,0,0,0,0,0,,0,24,0,0,0,2,1,0,0,0,0
20,17,8,True,False,False,False,False,False,CBS-DK,False,0.065404,2,5,2188,6817,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-18.scen,1376,0,CBS,2,0,0,0,0,0,1,0,0,0,,24,0,0,0,0,2,1,0,0,0,0
40,0,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.0648,549,1099,1595896,3480278,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-1.scen,-1,8,CBSH-RM,453,0,0,38,0,0,0,0,58,0,,1139,0,8,99,442,0,0,1,0,0,0
60,9,2,True,False,False,True,True,False,CBSH-RM-DK,True,90.0081,1925,3851,11521275,19962648,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-10.scen,-1,21,CBSH-RM,1372,0,0,54,10,0,0,0,489,0,,4363,0,166,525,1234,0,0,4,0,1,0
30,5,2,True,False,False,False,False,False,CBS-DK,False,0.504753,2,5,67525,83865,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-6.scen,3042,0,CBS,2,0,0,0,0,0,1,0,0,0,,34,0,0,0,0,2,1,0,0,0,0
40,1,8,True,False,False,False,False,False,CBS-DK,False,90.0338,1566,3132,807910,2634177,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-2.scen,-1,2,CBS,1566,0,0,0,0,0,0,0,0,0,,3172,0,0,0,0,1566,0,70,0,0,0
50,10,2,True,False,False,False,False,False,CBS-DK,False,90.0123,3235,6471,3994244,12456558,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-11.scen,-1,0,CBS,3235,0,0,0,0,0,0,0,0,0,,6520,0,0,0,0,3235,0,6,0,0,0
30,8,4,True,False,True,False,False,False,CBS-DK,False,90.0918,38,76,10760872,11662675,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-9.scen,-1,0,CBS,38,0,38,0,0,0,4,0,0,0,,0,106,0,0,0,38,0,9,0,0,0
20,10,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.016208,0,1,2386,8402,/home/ubuntu/mike/CBS-exp/agent/warehouse-10-20-10-2-1-even/warehouse-10-20-10-2-1-even-11.scen,2140,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,0,1,0,0,0,0
