agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
20,10,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0144,4249,8499,3151477,5111803,,-1,35,CBSH-RM,2845,0,0,962,442,0,0,0,0,0,,8518,0,4249,0,0,0,0,313,0,0,0
25,6,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0105,1858,3717,2168124,3233787,,-1,28,CBSH-RM,1497,0,0,175,186,0,0,0,0,0,,3741,0,1858,0,0,0,0,80,0,0,0
35,3,8,True,True,False,False,False,False,CBS-DK,False,90.0359,1805,3611,916273,1732300,,-1,14,CBS,1805,0,0,0,0,0,0,0,0,0,,3645,0,0,0,0,1805,0,2213,0,0,0
15,15,8,True,True,False,False,False,False,CBS-DK,False,90.0146,4385,8771,2240892,4267388,,-1,17,CBS,4385,0,0,0,0,0,0,0,0,0,,8785,0,0,0,0,4385,0,533,0,0,0
20,8,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0445,729,1459,4158070,4769098,,-1,40,CBSH-RM,693,0,0,2,34,0,0,0,0,0,,1478,0,729,0,0,0,0,16,0,0,0
45,18,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0508,783,1567,2742035,3190876,,-1,110,CBSH-RM,58,0,0,177,548,0,0,0,0,0,,1611,0,783,0,0,0,0,826,0,0,0
15,24,4,True,True,False,False,False,False,CBS-DK,False,90.006,6982,13965,5537215,9265608,,-1,13,CBS,6982,0,0,0,0,0,0,0,0,0,,13979,0,0,0,0,6982,0,122,0,0,0
30,24,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0412,1183,2367,6700980,7451342,,-1,85,CBSH-RM,0,0,0,318,865,0,0,0,0,0,,2396,0,1183,0,0,0,0,1254,0,0,0
20,5,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.03,303,607,2627548,2880395,,-1,118,CBSH-RM,20,0,0,24,259,0,0,0,0,0,,626,0,303,0,0,0,0,738,0,0,0
15,22,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0059,1356,2713,4454890,5231356,,-1,85,CBSH-RM,657,0,0,96,603,0,0,0,0,0,,2727,0,1356,0,0,0,0,255,0,0,0
10,4,4,True,True,False,True,False,False,CBSH-RM-DK,True,26.9906,225,451,1443869,1633386,,1498,24,CBSH-RM,187,0,0,0,38,0,0,0,0,0,,460,0,12,177,36,0,1,0,0,0,0
35,2,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0799,943,1887,1748768,2203995,,-1,86,CBSH-RM,20,0,0,166,757,0,0,0,0,0,,1921,0,943,0,0,0,0,620,0,0,0
30,14,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0113,1715,3431,3300322,4282304,,-1,69,CBSH-RM,884,0,0,252,579,0,0,0,0,0,,3460,0,1715,0,0,0,0,618,0,0,0
45,4,8,True,True,False,False,False,False,CBS-DK,False,90.0401,1317,2635,473337,885979,,-1,22,CBS,1317,0,0,0,0,0,0,0,0,0,,2679,0,0,0,0,1317,0,2690,0,0,0
40,10,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0444,1220,2441,1281615,1959731,,-1,50,CBSH-RM,9,0,0,872,339,0,0,0,0,0,,2480,0,1220,0,0,0,0,1384,0,0,0
45,5,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0991,541,1083,4767431,5230828,,-1,146,CBSH-RM,0,0,0,60,481,0,0,0,0,0,,1127,0,541,0,0,0,0,3910,0,0,0
10,3,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0503,248,497,910742,1049667,,-1,48,CBSH-RM,213,0,0,3,32,0,0,0,0,0,,506,0,248,0,0,0,0,97,0,0,0
25,9,4,True,True,False,False,False,False,CBS-DK,False,90.009,3977,7955,2641871,4623516,,-1,17,CBS,3977,0,0,0,0,0,0,0,0,0,,7979,0,0,0,0,3977,0,184,0,0,0
20,14,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0079,1079,2159,3162013,3687229,,-1,58,CBSH-RM,543,0,0,44,492,0,0,0,0,0,,2178,0,1051,28,0,0,0,115,0,0,0
45,1,8,True,True,False,False,False,False,CBS-DK,False,90.0443,1280,2561,539977,1020688,,-1,15,CBS,1280,0,0,0,0,0,0,0,0,0,,2605,0,0,0,0,1280,0,4225,0,0,0
20,19,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0164,4210,8421,1688822,2728446,,-1,33,CBSH-RM,4006,0,0,121,83,0,0,0,0,0,,8440,0,4210,0,0,0,0,49,0,0,0
10,17,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0127,346,693,1024037,1211328,,-1,48,CBSH-RM,334,0,0,0,12,0,0,0,0,0,,702,0,346,0,0,0,0,41,0,0,0
45,15,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0306,1255,2511,2900708,3651419,,-1,78,CBSH-RM,0,0,0,460,795,0,0,0,0,0,,2555,0,1255,0,0,0,0,1904,0,0,0
30,22,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0432,1501,3003,1989877,2656593,,-1,72,CBSH-RM,0,0,0,736,765,0,0,0,0,0,,3032,0,1501,0,0,0,0,534,0,0,0
20,1,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0108,1393,2787,1707324,2460467,,-1,44,CBSH-RM,1119,0,0,125,149,0,0,0,0,0,,2806,0,1393,0,0,0,0,395,0,0,0
25,23,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.028,1682,3365,3415115,4460317,,-1,33,CBSH-RM,441,0,0,961,280,0,0,0,0,0,,3389,0,1682,0,0,0,0,990,0,0,0
30,18,4,True,True,False,False,False,False,CBS-DK,False,90.0049,2804,5607,2086665,3946751,,-1,14,CBS,2804,0,0,0,0,0,0,0,0,0,,5636,0,0,0,0,2804,0,367,0,0,0
15,21,4,True,True,False,False,False,False,CBS-DK,False,90.0032,8350,16701,4824124,7407390,,-1,13,CBS,8350,0,0,0,0,0,0,0,0,0,,16715,0,0,0,0,8350,0,56,0,0,0
35,6,8,True,True,False,False,False,False,CBS-DK,False,90.0474,1292,2585,780296,1515401,,-1,17,CBS,1292,0,0,0,0,0,0,0,0,0,,2619,0,0,0,0,1292,0,3056,0,0,0
15,10,8,True,True,False,False,False,False,CBS-DK,False,90.0126,3596,7193,2808929,4487524,,-1,23,CBS,3596,0,0,0,0,0,0,0,0,0,,7207,0,0,0,0,3596,0,334,0,0,0
25,13,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0105,1656,3313,2299740,3157475,,-1,62,CBSH-RM,1283,0,0,82,291,0,0,0,0,0,,3337,0,1656,0,0,0,0,161,0,0,0
40,14,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0139,1616,3233,6046946,7152223,,-1,81,CBSH-RM,0,0,0,437,1179,0,0,0,0,0,,3272,0,1616,0,0,0,0,1074,0,0,0
45,8,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0711,798,1597,3264362,3823009,,-1,88,CBSH-RM,0,0,0,227,571,0,0,0,0,0,,1641,0,798,0,0,0,0,2161,0,0,0
10,9,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.363288,30,61,19764,30974,,983,10,CBSH-RM,25,0,0,0,5,0,0,0,0,0,,70,0,30,0,0,0,1,0,0,0,0
