agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
20,10,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0017,10585,21171,4138030,5960822,,-1,39,CBSH-RM,9946,0,0,289,350,0,0,0,0,0,,21190,0,10585,0,0,0,0,140,0,0,0
16,24,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0007,9337,18675,4999436,6709507,,-1,46,CBSH-RM,9240,0,0,0,97,0,0,0,0,0,,18690,0,9337,0,0,0,0,63,0,0,0
24,2,4,True,True,False,False,False,False,CBS-DK,False,90.0123,9954,19909,2039798,3771381,,-1,11,CBS,9954,0,0,0,0,0,0,0,0,0,,19932,0,0,0,0,9954,0,313,0,0,0
8,8,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0029,2277,4555,3858275,4672612,,-1,52,CBSH-RM,2111,0,0,12,154,0,0,0,0,0,,4562,0,2095,182,0,0,0,150,0,0,0
20,8,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0014,4475,8951,4210152,5502289,,-1,45,CBSH-RM,1598,0,0,578,2299,0,0,0,0,0,,8970,0,4475,0,0,0,0,322,0,0,0
8,23,8,True,True,False,True,False,False,CBSH-RM-DK,True,0.680775,31,63,32613,41994,,760,20,CBSH-RM,19,0,2,5,7,0,0,0,0,0,,68,2,19,11,1,0,1,0,0,0,0
20,5,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0027,1724,3449,1119820,1584938,,-1,55,CBSH-RM,1333,0,0,107,284,0,0,0,0,0,,3468,0,1724,0,0,0,0,557,0,0,0
16,19,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0949,613,1227,1955433,2155886,,-1,58,CBSH-RM,349,0,0,78,186,0,0,0,0,0,,1242,0,613,0,0,0,0,476,0,0,0
12,12,8,True,True,False,False,False,False,CBS-DK,False,90.0081,8031,16063,5751888,8009850,,-1,18,CBS,8031,0,0,0,0,0,0,0,0,0,,16074,0,0,0,0,8031,0,87,0,0,0
12,4,4,True,True,False,False,False,False,CBS-DK,False,15.1446,2867,5735,1295295,1753837,,822,21,CBS,2867,0,0,0,0,0,0,0,0,0,,5746,0,0,0,0,2867,1,0,0,0,0
8,13,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.367468,26,53,16258,24532,,559,8,CBSH-RM,20,0,0,4,2,0,0,0,0,0,,60,0,22,4,0,0,1,0,0,0,0
8,10,8,True,True,False,True,False,False,CBSH-RM-DK,False,0.177234,11,23,13753,17434,,541,10,CBSH-RM,11,0,0,0,0,0,0,0,0,0,,30,0,9,2,0,0,1,0,0,0,0
24,3,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0035,895,1791,563308,799371,,-1,82,CBSH-RM,722,0,0,141,32,0,0,0,0,0,,1814,0,895,0,0,0,0,1575,0,0,0
12,23,4,True,True,False,False,False,False,CBS-DK,False,90.0002,15172,30345,6656967,9550526,,-1,16,CBS,15172,0,0,0,0,0,0,0,0,0,,30356,0,0,0,0,15172,0,48,0,0,0
16,20,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0015,9956,19913,5703496,7816116,,-1,23,CBSH-RM,8046,0,0,3,1907,0,0,0,0,0,,19928,0,8521,1430,5,0,0,38,0,0,0
20,14,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.002,2271,4543,2305068,2901353,,-1,46,CBSH-RM,886,0,0,659,726,0,0,0,0,0,,4562,0,2271,0,0,0,0,741,0,0,0
12,17,8,True,True,False,False,False,False,CBS-DK,False,90.0069,11747,23495,2399534,4078035,,-1,19,CBS,11747,0,0,0,0,0,0,0,0,0,,23506,0,0,0,0,11747,0,252,0,0,0
20,19,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0068,1201,2403,815727,1137436,,-1,48,CBSH-RM,962,0,0,160,79,0,0,0,0,0,,2422,0,1201,0,0,0,0,255,0,0,0
12,1,4,True,True,False,False,False,False,CBS-DK,False,90.0007,21675,43351,4610664,7685319,,-1,18,CBS,21675,0,0,0,0,0,0,0,0,0,,43362,0,0,0,0,21675,0,92,0,0,0
16,24,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.001,12727,25455,6522108,9077055,,-1,28,CBSH-RM,12424,0,0,302,1,0,0,0,0,0,,25470,0,12704,23,0,0,0,98,0,0,0
8,9,8,True,True,False,False,False,False,CBS-DK,False,0.033852,9,19,2223,3996,,535,10,CBS,9,0,0,0,0,0,0,0,0,0,,26,0,0,0,0,9,1,0,0,0,0
24,17,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.004,2105,4211,919095,1378858,,-1,64,CBSH-RM,1619,0,0,318,168,0,0,0,0,0,,4234,0,2105,0,0,0,0,471,0,0,0
20,1,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0061,6387,12775,2643180,3893037,,-1,49,CBSH-RM,5503,0,0,465,419,0,0,0,0,0,,12794,0,6387,0,0,0,0,115,0,0,0
8,5,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0078,1900,3801,2333774,2882052,,-1,40,CBSH-RM,1788,0,0,1,111,0,0,0,0,0,,3808,0,528,956,416,0,0,33,0,0,0
24,7,4,True,True,False,False,False,False,CBS-DK,False,90.0068,10012,19712,2001058,3833590,,-1,15,CBS,10012,0,0,0,0,0,0,0,0,0,,19735,0,0,0,0,10012,0,229,0,0,0
8,19,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0068,3366,6733,7437340,8691942,,-1,28,CBSH-RM,3273,0,0,93,0,0,0,0,0,0,,6740,0,2043,1118,205,0,0,90,0,0,0
24,7,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0095,4998,9997,1748157,2814342,,-1,86,CBSH-RM,4798,0,0,104,96,0,0,0,0,0,,10020,0,4998,0,0,0,0,286,0,0,0
16,14,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0067,2425,4851,1806980,2334369,,-1,45,CBSH-RM,1362,0,0,433,630,0,0,0,0,0,,4866,0,2425,0,0,0,0,747,0,0,0
8,14,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0014,8465,16931,5628890,7304089,,-1,40,CBSH-RM,8331,0,0,1,133,0,0,0,0,0,,16938,0,8465,0,0,0,0,35,0,0,0
16,13,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0006,8189,16379,3845091,6000773,,-1,27,CBSH-RM,7154,0,0,516,519,0,0,0,0,0,,16394,0,8189,0,0,0,0,72,0,0,0
20,15,4,True,True,False,False,False,False,CBS-DK,False,90.0039,12212,24169,2630967,4594133,,-1,20,CBS,12212,0,0,0,0,0,0,0,0,0,,24188,0,0,0,0,12212,0,172,0,0,0
20,24,8,True,True,False,False,False,False,CBS-DK,False,90.0122,8100,16201,2404408,3828838,,-1,22,CBS,8100,0,0,0,0,0,0,0,0,0,,16220,0,0,0,0,8100,0,377,0,0,0
4,2,8,True,True,False,True,False,False,CBSH-RM-DK,False,0.048982,8,17,3961,6243,,325,5,CBSH-RM,6,0,0,0,2,0,0,0,0,0,,20,0,3,4,1,0,1,0,0,0,0
24,19,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0327,1022,2045,734616,1007477,,-1,50,CBSH-RM,787,0,0,158,77,0,0,0,0,0,,2068,0,1022,0,0,0,0,315,0,0,0
12,6,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0056,1412,2825,2372688,2891947,,-1,49,CBSH-RM,1222,0,0,139,51,0,0,0,0,0,,2836,0,1412,0,0,0,0,211,0,0,0
8,20,8,True,True,False,True,False,False,CBSH-RM-DK,True,0.030648,3,7,1136,2037,,504,4,CBSH-RM,2,0,0,1,0,0,0,0,0,0,,14,0,1,2,0,0,1,0,0,0,0
8,3,8,True,True,False,False,False,False,CBS-DK,False,90.0026,13796,27566,3742650,5649788,,-1,19,CBS,13796,0,0,0,0,0,0,0,0,0,,27573,0,0,0,0,13796,0,334,0,0,0
16,0,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0141,2533,5067,2055657,2778697,,-1,39,CBSH-RM,2234,0,0,131,168,0,0,0,0,0,,5082,0,2533,0,0,0,0,292,0,0,0
8,10,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.044304,10,21,6020,8941,,484,6,CBSH-RM,10,0,0,0,0,0,0,0,0,0,,28,0,6,4,0,0,1,0,0,0,0
20,23,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.016,8411,16823,4825137,6957266,,-1,32,CBSH-RM,7161,0,0,718,532,0,0,0,0,0,,16842,0,8237,174,0,0,0,45,0,0,0
16,17,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0136,3319,6639,1136139,1610403,,-1,50,CBSH-RM,3166,0,0,40,113,0,0,0,0,0,,6654,0,3319,0,0,0,0,254,0,0,0
12,18,8,True,True,False,False,False,False,CBS-DK,False,90.0034,11168,22337,4241628,5959741,,-1,20,CBS,11168,0,0,0,0,0,0,0,0,0,,22348,0,0,0,0,11168,0,285,0,0,0
8,6,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0033,6341,12683,4603850,6622442,,-1,38,CBSH-RM,6317,0,662,3,21,0,0,0,0,0,,10054,2636,189,4546,1606,0,0,65,0,0,0
12,2,4,True,True,False,True,False,False,CBSH-RM-DK,False,38.7518,4200,8401,4766770,5996371,,858,21,CBSH-RM,4095,0,0,1,104,0,0,0,0,0,,8412,0,4152,48,0,0,1,0,0,0,0
4,6,4,True,True,False,True,False,False,CBSH-RM-DK,False,0.008385,1,3,906,1598,,358,1,CBSH-RM,1,0,0,0,0,0,0,0,0,0,,6,0,1,0,0,0,1,0,0,0,0
8,6,8,True,True,False,False,False,False,CBS-DK,False,90.0029,12302,24605,5858020,8904474,,-1,15,CBS,12302,0,0,0,0,0,0,0,0,0,,24612,0,0,0,0,12302,0,119,0,0,0
24,14,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0054,3380,6761,1535991,2138936,,-1,51,CBSH-RM,2937,0,0,61,382,0,0,0,0,0,,6784,0,3380,0,0,0,0,481,0,0,0
24,24,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0002,4227,8455,1554530,2164904,,-1,45,CBSH-RM,4049,0,0,71,107,0,0,0,0,0,,8478,0,4227,0,0,0,0,468,0,0,0
16,4,4,True,True,False,True,False,False,CBSH-RM-DK,False,46.7596,4167,8335,3284257,4238419,,1044,36,CBSH-RM,4115,0,0,4,48,0,0,0,0,0,,8350,0,4090,51,26,0,1,0,0,0,0
16,17,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0066,4094,8189,1425320,2017644,,-1,51,CBSH-RM,3908,0,0,50,136,0,0,0,0,0,,8204,0,4094,0,0,0,0,403,0,0,0
24,8,4,True,True,False,False,False,False,CBS-DK,False,90.0018,8802,17605,2274722,4115700,,-1,26,CBS,8802,0,0,0,0,0,0,0,0,0,,17628,0,0,0,0,8802,0,575,0,0,0
20,21,8,True,True,False,False,False,False,CBS-DK,False,90.001,7174,14331,2026159,3665561,,-1,11,CBS,7174,0,0,0,0,0,0,0,0,0,,14350,0,0,0,0,7174,0,269,0,0,0
16,9,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0014,3586,7173,1548844,2292322,,-1,56,CBSH-RM,3507,0,0,73,6,0,0,0,0,0,,7188,0,3586,0,0,0,0,185,0,0,0
20,10,4,True,True,False,False,False,False,CBS-DK,False,90.0051,15102,29584,2601122,4294723,,-1,17,CBS,15102,0,0,0,0,0,0,0,0,0,,29603,0,0,0,0,15102,0,173,0,0,0
8,23,8,True,True,False,True,False,False,CBSH-RM-DK,False,0.688328,31,63,32613,41994,,760,20,CBSH-RM,19,0,2,5,7,0,0,0,0,0,,68,2,19,11,1,0,1,0,0,0,0
4,16,4,True,True,False,True,False,False,CBSH-RM-DK,False,0.017753,4,9,3746,4838,,227,4,CBSH-RM,4,0,0,0,0,0,0,0,0,0,,12,0,4,0,0,0,1,0,0,0,0
16,22,4,True,True,False,False,False,False,CBS-DK,False,90.0062,13539,27079,3522878,5828291,,-1,19,CBS,13539,0,0,0,0,0,0,0,0,0,,27094,0,0,0,0,13539,0,71,0,0,0
16,13,8,True,True,False,False,False,False,CBS-DK,False,90.0052,6538,13077,2391489,3799089,,-1,20,CBS,6538,0,0,0,0,0,0,0,0,0,,13092,0,0,0,0,6538,0,283,0,0,0
12,17,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0083,6224,12449,2661556,3491454,,-1,47,CBSH-RM,5864,0,0,17,343,0,0,0,0,0,,12460,0,6224,0,0,0,0,304,0,0,0
24,23,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0067,5360,10721,1902690,3099712,,-1,38,CBSH-RM,5025,0,0,301,34,0,0,0,0,0,,10744,0,5360,0,0,0,0,156,0,0,0
8,15,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.185118,24,49,13941,18890,,648,19,CBSH-RM,18,0,0,5,1,0,0,0,0,0,,56,0,24,0,0,0,1,0,0,0,0
4,0,4,True,True,False,False,False,False,CBS-DK,False,0.082391,13,27,15784,21797,,355,6,CBS,13,0,0,0,0,0,0,0,0,0,,30,0,0,0,0,13,1,0,0,0,0
4,16,8,True,True,False,False,False,False,CBS-DK,False,0.080518,8,17,13168,15505,,251,8,CBS,8,0,0,0,0,0,0,0,0,0,,20,0,0,0,0,8,1,0,0,0,0
20,8,4,True,True,False,False,False,False,CBS-DK,False,90.0018,9200,18401,2634453,4690778,,-1,26,CBS,9200,0,0,0,0,0,0,0,0,0,,18420,0,0,0,0,9200,0,602,0,0,0
8,19,4,True,True,False,False,False,False,CBS-DK,False,90.0002,17321,34643,10453942,16715254,,-1,5,CBS,17321,0,0,0,0,0,0,0,0,0,,34650,0,0,0,0,17321,0,267,0,0,0
24,11,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0071,5606,11213,1273418,2158842,,-1,30,CBSH-RM,5345,0,0,242,19,0,0,0,0,0,,11236,0,5606,0,0,0,0,194,0,0,0
16,22,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0005,2224,4449,1513789,2266340,,-1,31,CBSH-RM,2152,0,0,7,65,0,0,0,0,0,,4464,0,1872,352,0,0,0,25,0,0,0
4,12,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0932,71,143,411784,441198,,-1,37,CBSH-RM,70,0,6,0,1,0,0,0,0,0,,62,84,6,37,28,0,0,24,0,0,0
8,3,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0046,1466,2933,1333165,1665375,,-1,60,CBSH-RM,1457,0,0,0,9,0,0,0,0,0,,2940,0,1466,0,0,0,0,173,0,0,0
4,13,8,True,True,False,False,False,False,CBS-DK,False,0.288363,30,61,31489,41457,,301,8,CBS,30,0,0,0,0,0,0,0,0,0,,64,0,0,0,0,30,1,0,0,0,0
4,5,4,True,True,False,False,False,False,CBS-DK,False,0.005381,2,5,782,1391,,320,2,CBS,2,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,2,1,0,0,0,0
4,22,4,True,True,False,False,False,False,CBS-DK,False,0.001707,0,1,194,359,,186,0,CBS,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,1,0,0,0,0
12,13,4,True,True,False,True,False,False,CBSH-RM-DK,False,22.4848,1310,2621,1430408,1890332,,944,20,CBSH-RM,1090,0,0,108,112,0,0,0,0,0,,2632,0,1190,113,7,0,1,0,0,0,0
16,16,8,True,True,False,False,False,False,CBS-DK,False,90.0053,8409,16815,2431902,3905207,,-1,21,CBS,8409,0,0,0,0,0,0,0,0,0,,16830,0,0,0,0,8409,0,199,0,0,0
16,12,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0122,273,547,463887,564368,,-1,60,CBSH-RM,251,0,0,13,9,0,0,0,0,0,,562,0,273,0,0,0,0,226,0,0,0
24,21,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0167,3361,6723,1701261,2400963,,-1,43,CBSH-RM,3142,0,0,108,111,0,0,0,0,0,,6746,0,3361,0,0,0,0,290,0,0,0
8,18,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.031478,4,9,4724,6597,,447,5,CBSH-RM,2,0,0,2,0,0,0,0,0,0,,16,0,4,0,0,0,1,0,0,0,0
4,21,8,True,True,False,True,False,False,CBSH-RM-DK,False,0.026528,2,5,1436,2327,,381,6,CBSH-RM,0,0,0,0,2,0,0,0,0,0,,8,0,2,0,0,0,1,0,0,0,0
8,4,8,True,True,False,True,False,False,CBSH-RM-DK,False,6.00041,180,361,143103,174135,,458,29,CBSH-RM,177,0,22,0,3,0,0,0,0,0,,332,36,76,85,19,0,1,0,0,0,0
8,9,4,True,True,False,True,False,False,CBSH-RM-DK,False,0.012128,3,7,1182,2189,,509,4,CBSH-RM,2,0,0,1,0,0,0,0,0,0,,14,0,3,0,0,0,1,0,0,0,0
16,1,4,True,True,False,False,False,False,CBS-DK,False,90.0026,13675,26502,2216148,3930361,,-1,15,CBS,13675,0,0,0,0,0,0,0,0,0,,26517,0,0,0,0,13675,0,118,0,0,0
