agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
10,11,16,False,False,False,True,True,True,CBSH-RM-DK,False,90.0488,1435,2769,1713780,2544129,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-12.scen,-1,46,CBSH-RM,896,0,0,87,452,0,0,0,0,0,,2880,0,725,708,2,0,0,240,0,15,0
10,12,8,False,False,False,True,True,True,CBSH-RM-DK,False,90.0005,3190,6380,3766980,5508037,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,39,CBSH-RM,1553,0,0,269,1129,0,0,38,201,0,,6364,38,965,2097,128,0,0,59,0,7,0
6,13,4,False,False,False,True,True,True,CBSH-RM-DK,False,0.079555,12,25,3723,8810,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-14.scen,206,4,CBSH-RM,7,0,0,3,2,0,0,0,0,0,,30,0,3,6,3,0,1,0,0,0,0
8,8,10,False,False,False,True,True,False,CBSH-RM-DK,False,90.0261,1856,3713,1912507,2978239,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,-1,33,CBSH-RM,1160,0,0,81,615,0,0,0,0,0,,3720,0,619,1236,1,0,0,191,0,47,21
6,7,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.001783,0,1,130,413,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,122,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0
8,4,12,False,False,False,True,True,True,CBSH-RM-DK,False,6.38785,215,427,135589,203176,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,261,24,CBSH-RM,111,0,1,33,26,0,0,0,45,0,,437,1,117,67,31,0,1,0,0,0,0
6,23,6,False,False,False,True,True,True,CBSH-RM-DK,False,90.0912,666,1244,8279271,10665902,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,20,CBSH-RM,321,0,11,16,17,0,0,251,61,0,,713,627,241,364,61,0,1,0,0,0,0
6,24,16,False,False,False,True,True,True,CBSH-RM-DK,False,0.1056,6,13,2160,5799,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,154,2,CBSH-RM,4,0,0,0,2,0,0,0,0,0,,18,0,2,2,2,0,1,0,0,0,0
8,7,10,False,False,False,True,True,True,CBSH-RM-DK,False,62.9219,100,196,5072495,6172629,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,155,13,CBSH-RM,38,0,0,1,2,0,0,36,23,0,,101,107,29,55,16,0,1,0,0,0,0
8,8,8,False,False,False,True,True,True,CBSH-RM-DK,False,90.0538,2986,5973,3086978,4851708,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,-1,34,CBSH-RM,1511,0,0,217,1236,0,0,22,0,0,,5958,22,883,1725,378,0,0,9,0,0,1
8,5,4,False,False,False,True,True,True,CBSH-RM-DK,False,0.525766,61,120,27394,53317,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-6.scen,280,20,CBSH-RM,29,0,0,3,18,0,0,7,4,0,,124,7,33,25,3,0,1,0,0,0,0
10,12,14,False,False,False,True,True,True,CBSH-RM-DK,False,132.923,726,1414,1039867,1459246,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,37,CBSH-RM,288,0,0,68,312,0,0,0,58,0,,1479,0,522,204,0,0,0,158,0,40,102
10,23,14,False,False,False,True,True,False,CBSH-RM-DK,False,90.0027,3005,5778,2110822,3429769,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,35,CBSH-RM,1731,0,0,429,755,0,0,0,90,0,,6020,0,1560,1445,0,0,0,561,0,39,1
10,17,14,False,False,False,True,True,True,CBSH-RM-DK,False,90.2052,1764,3495,1844595,2646921,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,-1,36,CBSH-RM,1028,0,0,237,314,0,0,0,185,0,,3538,0,609,1070,85,0,0,40,0,13,0
10,16,4,False,False,False,True,True,True,CBSH-RM-DK,False,0.057585,24,47,4029,8062,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-17.scen,216,10,CBSH-RM,17,0,4,0,5,0,0,0,1,1,,50,7,3,14,6,1,1,0,0,0,0
